"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.1uf","~","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J","1",""
"C2,C3,C4","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C6","0.1uF","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","1",""
"D1,D2","SS14","https://www.vishay.com/docs/88746/ss12.pdf","Diode_SMD:D_SMA_Handsoldering","2",""
"D3","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D4","RED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D5","GREEN","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"J1","USB_C_Receptacle_PowerOnly_6P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","1",""
"J2","Conn_01x02_Socket","~","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal","1",""
"J3","Conn_01x02_Pin","~","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","1",""
"J9","USB_B_Micro","~","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","1",""
"J12","Conn_01x04_Socket","~","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Horizontal","1",""
"Q2","FS8205A","FS8205A","ul_FS8205A:SOT-23-6L_TCP-L","1",""
"R1,R12","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R2,R3","5k1","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R7,R8,R9","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R10,R11,R14","1k","~","-- mixed values --","3",""
"R13","100","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1","RESET","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","VeisLibrary:MySwitch_SW_SPST_PTS647_Sx50","1",""
"U1","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3","TP4056","","TP4056:SOP127P600X175-9N","1",""
"U4","DW01A","","DW01A:SOT95P280X145-6N","1",""
"U5","ESP-32S","ESP-32S","ul_ESP-32S:ESP-32S_AIT","1",""
